reply,label
"Lets discuss how integrates!",POSITIVE
"Plz send technical guide",neutral
"No intrested in service",NEGATIVE
"Id love to see demo!",positive
"Can u provide pricing guide?",neutral
"Not fit for strategy",Negative
"This could be perfect, connect!",POSITIVE
"Send pricing breakdown plz",neutral
"No need for solution",NEGATIVE
"Im eager to explore!",positive
"Can u share demo video?",neutral
"Not open to vendors",negative
"Lets schdule demo next week!",POSITIVE
"Plz send feature comparison",neutral
"No intrest in product",Negative
"Id love to learn more!",positive
"Can u provide case study?",neutral
"Were happy w/ setup",NEGATIVE
"This sounds great, send proposal!",positive
"Send support terms plz",neutral
"No need in workflow",Negative
"Im excited to see in action!",POSITIVE
"Can u share cost structure?",neutral
"Not intrest right now",negative
"Lets discuss in meeting!",positive
"Plz send feature list",neutral
"Doesnt meet requirements",NEGATIVE
"This could streamline, talk!",positive
"Send pricing structure plz",neutral
"No need for this",Negative
"Im eager to review!",POSITIVE
"Can u provide trial account?",neutral
"Not good fit for us",negative
"Lets set up product overview!",POSITIVE
"Plz send demo video",neutral
"No intrested in service",NEGATIVE
"Id love to explore solution!",positive
"Can u share feature roadmap?",neutral
"Not fit for strategy",Negative
"This could be perfect, connect!",POSITIVE
"Send technical guide plz",neutral
"No need for solution",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide pricing breakdown?",neutral
"Not open to vendors",negative
"Lets discuss how integrates!",POSITIVE
"Plz send support plan",neutral
"No intrest in product",Negative
"Id love to see demo!",positive
"Can u share cost structure?",neutral
"Were happy w/ setup",NEGATIVE
"This sounds great, schdule call!",positive
"Send feature comparison plz",neutral
"No need in workflow",Negative
"Im eager to learn more!",POSITIVE
"Can u provide case study?",neutral
"Not intrest right now",negative
"Lets schdule demo next week!",POSITIVE
"Plz send pricing guide",neutral
"Doesnt meet requirements",Negative
"Id love to review w/ team!",positive
"Can u share demo link?",neutral
"Not good fit for team",NEGATIVE
"This could streamline, send proposal!",positive
"Send pricing structure plz",neutral
"No need for this",Negative
"Im excited to see in action!",POSITIVE
"Can u provide feature list?",neutral
"Not intrested in service",NEGATIVE
"Lets discuss in meeting!",positive
"Plz send technical specs",neutral
"No need for solution",Negative
"Id love to explore!",POSITIVE
"Can u share pricing breakdown?",neutral
"Not open to vendors",negative
"This could be perfect, connect!",POSITIVE
"Send demo video plz",neutral
"No intrest in product",NEGATIVE
"Im eager to review!",positive
"Can u provide support terms?",neutral
"Not fit for strategy",Negative
"Lets set up product overview!",POSITIVE
"Plz send feature roadmap",neutral
"No need in workflow",NEGATIVE
"Id love to learn more!",positive
"Can u share cost structure?",neutral
"Were happy w/ setup",Negative
"This sounds great, schdule call!",POSITIVE
"Send pricing guide plz",neutral
"No intrest right now",Negative
"Im excited about oppurtunity!",positive
"Can u provide trial account?",neutral
"Doesnt meet requirements",NEGATIVE
"Lets discuss how integrates!",positive
"Plz send feature comparison",neutral
"No need for this",Negative
"Id love to see demo!",POSITIVE
"Can u share case study?",neutral
"Not good fit for us",negative
"This could streamline, talk!",POSITIVE
"Send demo link plz",neutral
"No intrested in service",NEGATIVE
"Im eager to explore!",positive
"Can u provide pricing structure?",neutral
"Not open to vendors",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send technical guide",neutral
"No need for solution",NEGATIVE
"Id love to review w/ team!",positive
"Can u share feature list?",neutral
"Not fit for strategy",Negative
"This could be perfect, send proposal!",POSITIVE
"Send pricing breakdown plz",neutral
"No intrest in product",NEGATIVE
"Im excited to see in action!",positive
"Can u provide demo video?",neutral
"Were happy w/ setup",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send support terms",neutral
"No need in workflow",NEGATIVE
"Id love to learn more!",positive
"Can u share cost structure?",neutral
"Not intrest right now",Negative
"This sounds great, connect!",POSITIVE
"Send feature roadmap plz",neutral
"No need for this",NEGATIVE
"Im eager to explore!",positive
"Can u provide trial account?",neutral
"Not good fit for team",NEGATIVE
"Lets set up product overview!",positive
"Plz send pricing guide",neutral
"No intrested in service",NEGATIVE
"Id love to see demo!",positive
"Can u share case study?",neutral
"Not open to vendors",Negative
"This could streamline, talk!",POSITIVE
"Send demo link plz",neutral
"No intrest in product",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide pricing breakdown?",neutral
"Not fit for strategy",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send technical specs",neutral
"No need for solution",NEGATIVE
"Id love to review w/ team!",positive
"Can u share feature comparison?",neutral
"Were happy w/ setup",Negative
"This could be perfect, connect!",POSITIVE
"Send pricing structure plz",neutral
"No intrest right now",NEGATIVE
"Im eager to learn more!",positive
"Can u provide demo video?",neutral
"Not good fit for us",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send support plan",neutral
"No need in workflow",NEGATIVE
"Id love to see in action!",positive
"Can u share cost structure?",neutral
"Not intrested in service",Negative
"This sounds great, send proposal!",POSITIVE
"Send feature list plz",neutral
"No need for this",NEGATIVE
"Im excited to explore!",positive
"Can u provide trial account?",neutral
"Not open to vendors",NEGATIVE
"Lets discuss in meeting!",positive
"Plz send pricing guide",neutral
"Not intrest in product",Negative
"Id love to learn more!",POSITIVE
"Can u share case study?",neutral
"Doesnt meet requirements",NEGATIVE
"This could streamline, talk!",positive
"Send demo link plz",neutral
"No need for solution",NEGATIVE
"Im eager to review!",positive
"Can u share feature roadmap?",neutral
"Not good fit for team",Negative
"Lets set up product overview!",POSITIVE
"Plz send technical guide",neutral
"No intrest right now",NEGATIVE
"Id love to see demo!",positive
"Can u provide pricing breakdown?",neutral
"Not fit for strategy",Negative
"This could be perfect, connect!",POSITIVE
"Send support terms plz",neutral
"No need in workflow",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u share cost structure?",neutral
"Not open to vendors",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send feature comparison",neutral
"No intrest in service",NEGATIVE
"Id love to explore!",positive
"Can u provide demo video?",neutral
"Not good fit for us",Negative
"This sounds great, schdule call!",POSITIVE
"Send pricing guide plz",neutral
"No need for this",NEGATIVE
"Im eager to learn more!",positive
"Can u share trial account?",neutral
"Doesnt meet requirements",NEGATIVE
"Lets schdule demo next week!",positive
"Plz send feature list",neutral
"Not intrested in product",Negative
"Id love to see in action!",POSITIVE
"Can u share case study?",neutral
"Were happy w/ setup",Negative
"This could streamline, send proposal!",POSITIVE
"Send demo link plz",neutral
"No intrest in service",NEGATIVE
"Im excited to review!",positive
"Can u provide pricing structure?",neutral
"Not open to vendors",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send technical specs",neutral
"No need for solution",NEGATIVE
"Id love to explore solution!",positive
"Can u share cost breakdown?",neutral
"Not good fit for team",Negative
"This could be perfect, talk!",POSITIVE
"Send feature roadmap plz",neutral
"No intrest right now",NEGATIVE
"Im eager to see demo!",positive
"Can u provide demo video?",neutral
"Not fit for strategy",Negative
"Lets set up product overview!",POSITIVE
"Plz send pricing guide",neutral
"No need in workflow",NEGATIVE
"Id love to learn more!",positive
"Can u share support plan?",neutral
"Not intrested in service",NEGATIVE
"This sounds great, connect!",positive
"Send pricing breakdown plz",neutral
"No need for this",Negative
"Im excited about oppurtunity!",POSITIVE
"Can u provide case study?",neutral
"Not open to vendors",NEGATIVE
"Lets discuss how integrates!",positive
"Plz send feature comparison",neutral
"No intrest in product",NEGATIVE
"Id love to see in action!",positive
"Can u share cost structure?",neutral
"Were happy w/ setup",Negative
"This could streamline, send proposal!",POSITIVE
"Send demo link plz",neutral
"No need for solution",NEGATIVE
"Im eager to review!",positive
"Can u provide trial account?",neutral
"Not good fit for us",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send pricing structure",neutral
"Not intrest right now",NEGATIVE
"Id love to explore!",positive
"Can u provide feature list?",neutral
"Not fit for strategy",Negative
"This could be perfect, connect!",POSITIVE
"Send technical guide plz",neutral
"No need in workflow",NEGATIVE
"Im excited to learn more!",positive
"Can u share demo video?",neutral
"Not intrested in service",NEGATIVE
"Lets discuss in meeting!",positive
"Plz send feature roadmap",neutral
"No need for this",Negative
"Id love to see demo!",POSITIVE
"Can u share pricing guide?",neutral
"Not open to vendors",NEGATIVE
"This sounds great, schdule call!",positive
"Send support terms plz",neutral
"No intrest in product",Negative
"Im eager to review!",POSITIVE
"Can u provide cost breakdown?",neutral
"Not good fit for team",NEGATIVE
"Lets set up product overview!",positive
"Plz send pricing breakdown",neutral
"No need for solution",NEGATIVE
"Id love to explore solution!",positive
"Can u share case study?",neutral
"Were happy w/ setup",Negative
"This could streamline, talk!",POSITIVE
"Send demo link plz",neutral
"No intrest right now",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide feature comparison?",neutral
"Not fit for strategy",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send technical specs",neutral
"No need in workflow",NEGATIVE
"Id love to see in action!",positive
"Can u share pricing structure?",neutral
"Not intrested in service",NEGATIVE
"This could be perfect, send proposal!",positive
"Send feature list plz",neutral
"No need for this",Negative
"Im eager to learn more!",POSITIVE
"Can u provide demo video?",neutral
"Not open to vendors",NEGATIVE
"Lets schdule demo next week!",positive
"Plz send cost structure",neutral
"No intrest in product",Negative
"Id love to review w/ team!",POSITIVE
"Can u share trial account?",neutral
"Not good fit for us",NEGATIVE
"This sounds great, connect!",positive
"Send pricing guide plz",neutral
"No need for solution",NEGATIVE
"Im excited to explore!",positive
"Can u share feature roadmap?",neutral
"Not fit for strategy",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send support plan",neutral
"No intrest right now",NEGATIVE
"Id love to see demo!",positive
"Can u provide case study?",neutral
"Were happy w/ setup",NEGATIVE
"This could streamline, send proposal!",POSITIVE
"Send demo link plz",neutral
"No need in workflow",NEGATIVE
"Im eager to review!",positive
"Can u provide pricing breakdown?",neutral
"Not intrested in service",Negative
"Lets set up product overview!",POSITIVE
"Plz send technical guide",neutral
"No need for this",NEGATIVE
"Id love to explore solution!",positive
"Can u share cost structure?",neutral
"Not open to vendors",Negative
"This could be perfect, talk!",POSITIVE
"Send feature comparison plz",neutral
"No intrest in product",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide demo video?",neutral
"Not good fit for team",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send pricing structure",neutral
"No need for solution",NEGATIVE
"Id love to see in action!",positive
"Can u share feature list?",neutral
"Were happy w/ setup",Negative
"This sounds great, schdule call!",POSITIVE
"Send support terms plz",neutral
"No intrest right now",NEGATIVE
"Im eager to learn more!",positive
"Can u provide trial account?",neutral
"Not fit for strategy",NEGATIVE
"Lets schdule demo next week!",positive
"Plz send pricing guide",neutral
"No need in workflow",NEGATIVE
"Id love to review w/ team!",positive
"Can u share case study?",neutral
"Not intrested in service",Negative
"This could streamline, connect!",POSITIVE
"Send demo link plz",neutral
"No need for this",NEGATIVE
"Im excited to see demo!",positive
"Can u provide feature roadmap?",neutral
"Not open to vendors",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send technical specs",neutral
"No intrest in product",NEGATIVE
"Id love to explore!",positive
"Can u provide pricing breakdown?",neutral
"Not good fit for us",Negative
"This could be perfect, send proposal!",POSITIVE
"Send pricing structure plz",neutral
"No need for solution",NEGATIVE
"Im eager to review!",positive
"Can u share cost structure?",neutral
"Not fit for strategy",Negative
"Lets set up product overview!",POSITIVE
"Plz send feature comparison",neutral
"No intrest right now",NEGATIVE
"Id love to learn more!",positive
"Can u share demo video?",neutral
"Were happy w/ setup",Negative
"This sounds great, connect!",POSITIVE
"Send support plan plz",neutral
"No need in workflow",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide case study?",neutral
"Not intrested in service",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send pricing guide",neutral
"No need for this",NEGATIVE
"Id love to see demo!",positive
"Can u share feature list?",neutral
"Not open to vendors",Negative
"This could streamline, talk!",POSITIVE
"Send demo link plz",neutral
"No intrest in product",NEGATIVE
"Im eager to explore!",positive
"Can u provide trial account?",neutral
"Not good fit for team",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send technical guide",neutral
"No need for solution",NEGATIVE
"Id love to review w/ team!",positive
"Can u share cost breakdown?",neutral
"Not intrest right now",NEGATIVE
"This could be perfect, connect!",positive
"Send pricing breakdown plz",neutral
"No need in workflow",NEGATIVE
"Im excited to see in action!",positive
"Can u share feature roadmap?",neutral
"Not fit for strategy",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send support terms",neutral
"No intrested in service",NEGATIVE
"Id love to learn more!",positive
"Can u provide demo video?",neutral
"Were happy w/ setup",Negative
"This sounds great, schdule call!",POSITIVE
"Send feature comparison plz",neutral
"No need for this",NEGATIVE
"Im eager to review!",positive
"Can u provide case study?",neutral
"Not open to vendors",Negative
"Lets set up product overview!",POSITIVE
"Plz send pricing structure",neutral
"No intrest in product",NEGATIVE
"Id love to explore solution!",positive
"Can u share cost structure?",neutral
"Not good fit for us",Negative
"This could streamline, send proposal!",POSITIVE
"Send demo link plz",neutral
"No need for solution",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide feature list?",neutral
"Not intrest right now",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send technical guide",neutral
"No need in workflow",NEGATIVE
"Id love to see demo!",positive
"Can u share pricing guide?",neutral
"Not fit for strategy",Negative
"This could be perfect, connect!",POSITIVE
"Send support terms plz",neutral
"No intrested in service",NEGATIVE
"Im eager to learn more!",positive
"Can u provide demo video?",neutral
"Were happy w/ setup",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send feature comparison",neutral
"No need for this",NEGATIVE
"Id love to review w/ team!",positive
"Can u share cost breakdown?",neutral
"Not open to vendors",Negative
"This sounds great, talk!",POSITIVE
"Send pricing breakdown plz",neutral
"No intrest in product",NEGATIVE
"Im excited to see in action!",positive
"Can u provide case study?",neutral
"Not good fit for team",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send feature roadmap",neutral
"No need for solution",NEGATIVE
"Id love to explore!",positive
"Can u share pricing structure?",neutral
"Not intrest right now",Negative
"This could streamline, send proposal!",POSITIVE
"Send demo link plz",neutral
"No need in workflow",NEGATIVE
"Im eager to review!",positive
"Can u provide trial account?",neutral
"Not fit for strategy",Negative
"Lets set up product overview!",POSITIVE
"Plz send technical specs",neutral
"No intrested in service",NEGATIVE
"Id love to learn more!",positive
"Can u share cost structure?",neutral
"Were happy w/ setup",Negative
"This could be perfect, connect!",POSITIVE
"Send feature comparison plz",neutral
"No intrest in product",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide demo video?",neutral
"Not open to vendors",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send pricing guide",neutral
"No need for this",NEGATIVE
"Id love to see demo!",positive
"Can u share feature list?",neutral
"Not good fit for us",Negative
"This sounds great, schdule call!",POSITIVE
"Send support terms plz",neutral
"No intrest right now",NEGATIVE
"Im eager to explore!",positive
"Can u provide case study?",neutral
"Not fit for strategy",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send pricing breakdown",neutral
"No need for solution",NEGATIVE
"Id love to review w/ team!",positive
"Can u share cost structure?",neutral
"Were happy w/ setup",Negative
"This could streamline, talk!",POSITIVE
"Send demo link plz",neutral
"No intrest in product",NEGATIVE
"Im excited to see in action!",positive
"Can u provide feature roadmap?",neutral
"Not open to vendors",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send technical guide",neutral
"No intrested in service",NEGATIVE
"Id love to explore solution!",positive
"Can u share pricing structure?",neutral
"Not good fit for team",Negative
"This could be perfect, send proposal!",POSITIVE
"Send feature comparison plz",neutral
"No need for this",NEGATIVE
"Im eager to learn more!",positive
"Can u provide demo video?",neutral
"Not intrest right now",Negative
"Lets set up product overview!",POSITIVE
"Plz send support plan",neutral
"No need in workflow",NEGATIVE
"Id love to see demo!",positive
"Can u share case study?",neutral
"Were happy w/ setup",Negative
"This sounds great, connect!",POSITIVE
"Send pricing guide plz",neutral
"No intrest in product",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide trial account?",neutral
"Not fit for strategy",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send feature list",neutral
"No need for solution",NEGATIVE
"Id love to review w/ team!",positive
"Can u share cost breakdown?",neutral
"Not open to vendors",Negative
"This could streamline, send proposal!",POSITIVE
"Send demo link plz",neutral
"No intrested in service",NEGATIVE
"Im eager to explore!",positive
"Can u provide pricing breakdown?",neutral
"Not good fit for us",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send technical specs",neutral
"No need in workflow",NEGATIVE
"Id love to see in action!",positive
"Can u share feature comparison?",neutral
"Not intrest in product",Negative
"This could be perfect, connect!",POSITIVE
"Send pricing structure plz",neutral
"No need for this",NEGATIVE
"Im excited to learn more!",positive
"Can u provide case study?",neutral
"Were happy w/ setup",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send support terms",neutral
"No intrest right now",NEGATIVE
"Id love to see demo!",positive
"Can u share cost structure?",neutral
"Not fit for strategy",Negative
"This sounds great, schdule call!",POSITIVE
"Send feature roadmap plz",neutral
"No need for solution",NEGATIVE
"Im eager to review!",positive
"Can u provide demo video?",neutral
"Not open to vendors",Negative
"Lets set up product overview!",POSITIVE
"Plz send pricing guide",neutral
"No intrested in service",NEGATIVE
"Id love to explore!",positive
"Can u share feature list?",neutral
"Not good fit for team",Negative
"This could streamline, talk!",POSITIVE
"Send demo link plz",neutral
"No intrest in product",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide trial account?",neutral
"Not fit for strategy",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send technical guide",neutral
"No need in workflow",NEGATIVE
"Id love to see in action!",positive
"Can u share pricing breakdown?",neutral
"Were happy w/ setup",Negative
"This could be perfect, send proposal!",POSITIVE
"Send feature comparison plz",neutral
"No intrest right now",NEGATIVE
"Im eager to learn more!",positive
"Can u provide case study?",neutral
"Not open to vendors",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send pricing structure",neutral
"No need for this",NEGATIVE
"Id love to review w/ team!",positive
"Can u share cost structure?",neutral
"Not intrested in service",Negative
"This sounds great, connect!",POSITIVE
"Send demo link plz",neutral
"No need for solution",NEGATIVE
"Im excited to see demo!",positive
"Can u provide feature roadmap?",neutral
"Not good fit for us",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send support plan",neutral
"No intrest in product",NEGATIVE
"Id love to explore solution!",positive
"Can u share pricing guide?",neutral
"Not fit for strategy",Negative
"This could streamline, talk!",POSITIVE
"Send technical specs plz",neutral
"No need in workflow",NEGATIVE
"Im eager to review!",positive
"Can u provide demo video?",neutral
"Not open to vendors",Negative
"Lets set up product overview!",POSITIVE
"Plz send feature comparison",neutral
"No intrest right now",NEGATIVE
"Id love to learn more!",positive
"Can u share cost breakdown?",neutral
"Not good fit for team",Negative
"This could be perfect, send proposal!",POSITIVE
"Send pricing breakdown plz",neutral
"No need for this",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide case study?",neutral
"Were happy w/ setup",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send feature list",neutral
"No intrested in service",NEGATIVE
"Id love to see in action!",positive
"Can u share pricing structure?",neutral
"Not open to vendors",Negative
"This sounds great, schdule call!",POSITIVE
"Send demo link plz",neutral
"No intrest in product",NEGATIVE
"Im eager to explore!",positive
"Can u provide trial account?",neutral
"Not fit for strategy",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send technical guide",neutral
"No need for solution",NEGATIVE
"Id love to review w/ team!",positive
"Can u share cost structure?",neutral
"Not good fit for us",Negative
"This could streamline, connect!",POSITIVE
"Send pricing guide plz",neutral
"No intrest right now",NEGATIVE
"Id love to see demo!",positive
"Can u provide feature comparison?",neutral
"Were happy w/ setup",Negative
"This could be perfect, talk!",POSITIVE
"Send support terms plz",neutral
"No need in workflow",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u share demo video?",neutral
"Not intrested in service",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send feature roadmap",neutral
"No need for this",NEGATIVE
"Id love to learn more!",positive
"Can u share case study?",neutral
"Not open to vendors",Negative
"Lets set up product overview!",POSITIVE
"Plz send pricing breakdown",neutral
"No intrest in product",NEGATIVE
"Im eager to review!",positive
"Can u share cost structure?",neutral
"Not good fit for team",Negative
"This could streamline, send proposal!",POSITIVE
"Send demo link plz",neutral
"No need for solution",NEGATIVE
"Id love to explore!",positive
"Can u provide trial account?",neutral
"Not fit for strategy",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send technical specs",neutral
"No intrest right now",NEGATIVE
"Id love to see in action!",positive
"Can u share pricing guide?",neutral
"Were happy w/ setup",Negative
"This sounds great, connect!",POSITIVE
"Send feature comparison plz",neutral
"No intrested in service",NEGATIVE
"Im eager to learn more!",positive
"Can u share demo video?",neutral
"Not open to vendors",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send support plan",neutral
"No intrest in product",NEGATIVE
"Id love to review w/ team!",positive
"Can u share cost breakdown?",neutral
"Not good fit for us",Negative
"This could be perfect, send proposal!",POSITIVE
"Send pricing structure plz",neutral
"No need in workflow",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u share feature list?",neutral
"Not fit for strategy",Negative
"Lets set up product overview!",POSITIVE
"Plz send technical guide",neutral
"No need for this",NEGATIVE
"Id love to explore solution!",positive
"Can u share case study?",neutral
"Were happy w/ setup",Negative
"This could streamline, talk!",POSITIVE
"Send demo link plz",neutral
"No intrest right now",NEGATIVE
"Im eager to see demo!",positive
"Can u provide pricing breakdown?",neutral
"Not open to vendors",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send feature roadmap",neutral
"No intrested in service",NEGATIVE
"Id love to learn more!",positive
"Can u share cost structure?",neutral
"Not good fit for team",Negative
"This sounds great, schdule call!",POSITIVE
"Send pricing guide plz",neutral
"No need for solution",NEGATIVE
"Id love to see in action!",positive
"Can u provide demo video?",neutral
"Not intrest in product",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send support terms",neutral
"No need in workflow",NEGATIVE
"Im eager to review!",positive
"Can u share feature comparison?",neutral
"Not fit for strategy",Negative
"This could be perfect, connect!",POSITIVE
"Send technical specs plz",neutral
"No intrest right now",NEGATIVE
"Id love to explore!",positive
"Can u provide case study?",neutral
"Were happy w/ setup",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send pricing structure",neutral
"No intrested in service",NEGATIVE
"Id love to review w/ team!",positive
"Can u share cost breakdown?",neutral
"Not open to vendors",Negative
"This could streamline, send proposal!",POSITIVE
"Send demo link plz",neutral
"No need for this",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide feature list?",neutral
"Not good fit for us",Negative
"Lets set up product overview!",POSITIVE
"Plz send technical guide",neutral
"No intrest in product",NEGATIVE
"Id love to see demo!",positive
"Can u share pricing guide?",neutral
"Not fit for strategy",Negative
